Type,Entries #,True Correct,True False,Detected False,Computational Steps,
non_priority,73,73,0,0,
priority,27,25,2,2,
non_priority,76,76,0,0,
priority,24,24,0,0,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,74,74,0,0,
priority,26,25,1,1,
non_priority,75,75,0,0,
priority,25,25,0,0,
non_priority,74,72,2,2,
priority,26,26,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,75,75,0,0,
priority,25,25,0,0,
non_priority,69,69,0,0,
priority,31,30,1,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,72,70,2,2,
priority,28,27,1,1,
non_priority,60,59,1,1,
priority,40,39,1,1,
non_priority,73,71,2,2,
priority,27,27,0,0,
non_priority,80,79,1,1,
priority,20,20,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,67,65,2,2,
priority,33,33,0,0,
non_priority,65,65,0,0,
priority,35,35,0,0,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,71,71,0,0,
priority,29,28,1,1,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,78,78,0,0,
priority,22,22,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,75,74,1,1,
priority,25,25,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,60,60,0,0,
priority,40,40,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,79,77,2,2,
priority,21,21,0,0,
non_priority,62,59,3,3,
priority,38,38,0,0,
non_priority,67,65,2,2,
priority,33,33,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,67,67,0,0,
priority,33,33,0,0,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,75,74,1,1,
priority,25,24,1,1,
non_priority,71,68,3,3,
priority,29,29,0,0,
non_priority,69,68,1,1,
priority,31,31,0,0,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,70,70,0,0,
priority,30,29,1,1,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,69,68,1,1,
priority,31,30,1,0,
non_priority,70,70,0,0,
priority,30,30,0,0,
non_priority,70,69,1,1,
priority,30,28,2,2,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,64,64,0,0,
priority,36,36,0,0,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,64,62,2,2,
priority,36,36,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,71,70,1,1,
priority,29,29,0,0,
non_priority,64,62,2,2,
priority,36,36,0,0,
non_priority,79,78,1,1,
priority,21,20,1,1,
non_priority,64,64,0,0,
priority,36,36,0,0,
non_priority,62,60,2,2,
priority,38,37,1,1,
non_priority,60,60,0,0,
priority,40,39,1,1,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,72,72,0,0,
priority,28,28,0,0,
